Symbol,% Chg. Close,% Chg. Open,% Chg. Over,Last Trade,Bid,Ask,Tot. Volume,After hours percent change
AAPL,+0.13,+0.11,+0.01,259.3692,259.35,259.45,39996967,-0.0
ABBV,-1.46,-1.30,-0.17,220.85,220.00,221.00,6714160,0.35
ADBE,-1.41,-0.48,-0.93,334.25,334.01,334.25,3250098,0.09
ADI,+0.62,+0.41,+0.20,301.00,300.00,302.86,3088141,0.02
AEP,+1.31,+1.25,+0.06,117.45,116.95,117.45,2867699,0.46
AGQ,+7.61,+2.62,+4.86,195.77,195.71,195.80,5846769,-0.06
ALAB,+3.48,+2.61,+0.85,162.18,162.00,162.50,4093695,-0.26
AMAT,+7.17,+4.66,+2.40,301.84,300.01,302.00,9427640,0.22
AMD,-0.57,-1.07,+0.51,203.5096,203.45,203.51,24217339,0.17
AMZN,+0.51,+1.22,-0.70,247.55,247.48,247.59,34559961,0.07
ANET,-0.57,-1.25,+0.69,123.01,123.00,123.92,8989651,0.1
ARKK,-0.19,-0.97,+0.79,80.40,80.31,80.48,6782757,0.14
ARKW,-1.01,-1.27,+0.26,148.1501,148.15,150.26,144314,-0.64
ARM,-0.78,-1.50,+0.73,112.1983,112.10,112.20,5292918,0.37
ASML,+6.67,+3.34,+3.23,1274.00,1273.90,1274.50,2394482,0.01
AVAV,+5.81,+3.97,+1.77,365.00,364.10,365.94,1892739,0.0
AVGO,+3.70,+2.03,+1.64,344.7908,344.80,344.83,22482508,-0.05
AXP,-1.84,-1.84,+0.01,375.95,375.66,376.30,2767723,0.09
AXSM,+1.46,+0.53,+0.93,170.00,169.38,172.90,793800,0.37
AYI,+1.01,+2.36,-1.32,325.50,324.63,326.00,998757,-0.02
BA,+3.07,+2.63,+0.42,234.35,234.26,234.45,8621614,-0.08
BABA,-2.32,-0.29,-2.03,150.89,150.82,150.96,11437935,-0.05
BIDU,+1.41,+0.88,+0.52,143.25,143.21,143.50,3093260,-0.2
CAT,+1.52,+1.22,+0.30,617.40,617.01,617.90,1822011,-0.04
CEG,+6.32,+1.01,+5.26,342.928,342.55,343.00,5908029,0.12
CIEN,+2.25,+5.01,-2.63,230.27,230.00,230.90,2772432,-0.13
CLS,+4.74,+3.01,+1.68,302.29,302.06,304.50,2225781,-0.0
COHR,+2.79,+5.31,-2.40,177.98,177.30,179.00,5456506,-0.04
COIN,-1.87,-2.06,+0.20,241.00,240.90,241.10,8104541,0.09
COST,+1.09,+1.02,+0.07,925.33,923.76,925.33,2895418,0.05
CRCL,+1.60,+1.09,+0.50,83.10,83.10,83.19,7686358,0.24
CRDO,+7.18,+4.27,+2.78,151.75,151.60,152.40,7517330,0.88
CRM,-0.05,+0.15,-0.20,260.40,260.00,260.48,5174372,0.18
CRWD,+1.53,-0.26,+1.79,470.9769,470.75,471.00,2397478,0.08
CRWV,+4.07,+2.44,+1.60,80.23,80.21,80.40,26303232,0.11
CVX,+1.95,+1.12,+0.82,162.36,162.28,162.36,12549643,0.15
DASH,-3.56,-2.79,-0.79,216.1216,216.10,216.22,4886968,0.26
DIS,+1.34,+1.22,+0.12,115.70,115.60,115.85,8935207,-0.16
DUOL,+2.10,+0.92,+1.17,177.52,177.30,178.45,1013276,0.49
ECL,-0.64,-0.54,-0.10,270.0008,267.48,274.00,750543,-0.64
EME,+2.96,+2.48,+0.47,646.88,645.50,649.60,319505,0.09
GDX,+1.14,+0.84,+0.29,92.58,92.56,92.80,18108483,0.02
GEV,-0.92,-1.53,+0.62,622.65,622.50,623.20,3105778,0.02
GLW,+0.25,+0.25,0.00,85.54,85.28,85.55,6113283,0.36
GOOG,+1.19,+0.73,+0.45,329.89,329.61,329.89,17917732,0.23
GPOR,-3.11,-2.97,-0.15,173.90,153.56,192.56,277872,-0.09
GS,+0.66,+0.24,+0.42,941.00,939.50,941.00,1334087,0.22
HOOD,+0.21,-1.15,+1.37,115.63,115.60,115.63,18094807,0.31
HROW,-7.33,-7.25,-0.08,47.30,46.79,47.30,842587,1.11
IBM,+0.55,+0.59,-0.04,304.40,304.01,304.45,2718828,0.06
JBL,+2.20,+1.94,+0.26,226.70,225.68,226.91,993777,0.24
JCI,+0.36,+0.31,+0.04,111.6895,109.88,111.98,6351839,0.76
KTOS,+9.81,+8.32,+1.38,114.25,113.85,115.00,6077531,0.48
LABU,+1.92,-1.77,+3.75,167.58,166.83,167.59,533062,-0.09
LEU,+7.32,+0.72,+6.55,307.20,306.00,307.20,1228665,0.33
LITE,+0.66,+4.86,-4.01,350.55,350.01,351.40,5914381,-0.25
LMT,+4.85,+3.37,+1.44,543.59,543.00,543.59,2647693,0.12
LULU,-4.03,-4.40,+0.39,203.62,203.62,203.79,5732824,-0.14
MDB,-1.25,-1.55,+0.30,408.34,408.50,409.60,1191327,0.05
MELI,+0.01,-0.52,+0.54,2180.00,2179.00,2180.00,309300,0.07
META,+1.08,+1.17,-0.10,653.01,653.01,653.10,11634944,-0.01
MRVL,-0.10,-0.86,+0.77,83.31,83.26,83.31,13486251,0.11
MSFT,+0.19,+1.04,-0.85,479.00,478.90,479.02,18491036,-0.06
MSTR,-5.52,-5.39,-0.13,157.76,157.75,157.76,27962568,0.27
MU,+5.50,+3.68,+1.75,345.00,344.95,345.00,33387505,-0.03
NBIS,+1.70,+0.06,+1.64,98.95,98.91,98.95,11735268,1.04
NET,-2.01,-1.51,-0.51,183.20,183.00,183.44,2683540,0.23
NFLX,-1.28,-0.73,-0.55,89.37,89.36,89.37,55579523,-0.1
NOW,-2.94,-3.70,+0.79,141.8931,141.80,141.90,11845425,0.07
NVDA,-0.04,-0.06,+0.02,184.9701,184.97,184.99,131327534,0.06
NVO,+3.07,-0.62,+3.71,59.10,59.08,59.10,29064402,0.49
NVT,+3.19,+2.43,+0.75,106.00,105.37,107.52,1724303,0.59
OKLO,+9.07,-6.91,+17.16,106.45,106.40,106.45,33942746,1.08
ORCL,+4.54,+3.18,+1.32,197.742,197.70,197.78,26152742,-0.39
PLTR,+0.32,+0.23,+0.09,177.4235,177.41,177.48,31362890,-0.04
PSTG,+2.59,+2.12,+0.46,67.40,66.60,68.00,3359772,0.63
QCOM,-2.13,-0.07,-2.06,178.00,177.81,178.00,9662223,0.12
QQQ,+1.06,+0.91,+0.15,627.04,626.90,627.05,49688734,0.06
RBRK,-1.56,-2.29,+0.74,70.55,70.54,70.55,2637719,-0.01
RDDT,-3.54,-4.93,+1.46,244.968,244.80,245.88,5542455,0.17
RKLB,+2.67,+0.92,+1.74,85.30,85.27,85.33,23780421,0.53
RMBS,+3.19,+2.27,+0.90,94.25,93.90,95.00,1746376,0.93
RSP,+0.63,+0.36,+0.27,197.70,197.70,198.19,14223315,0.05
SANM,+2.95,+1.90,+1.03,153.50,152.85,153.98,461936,0.06
SAP,+2.89,+0.12,+2.77,247.99,241.10,250.00,1737873,0.36
SATS,+2.95,+2.30,+0.63,120.40,118.00,120.40,7161364,0.33
SHOP,-2.07,-1.91,-0.16,164.80,164.40,164.80,5068690,0.19
